States,Regions,latitude,longitude,Dates,temperature,humidity,Usage,DayOfWeek,IsWeekend,Day,Month,Quarter,Lag1,Lag7,Lag14,Rolling7,Rolling14,Rolling30,RollingStd7
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-02,23.1,56,164.6,2,0,2,1,1,176.15188866799204,176.15188866799204,176.15188866799204,102.940978438339,102.8635123158362,102.72730941685938,0.0
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-03,24.0,57,170.1,3,0,3,1,1,164.6,176.15188866799204,176.15188866799204,164.6,164.6,164.6,0.0
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-04,24.0,59,165.2,4,0,4,1,1,170.1,176.15188866799204,176.15188866799204,167.35,167.35,167.35,3.8890872965260113
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-05,23.5,64,167.4,5,1,5,1,1,165.2,176.15188866799204,176.15188866799204,166.63333333333333,166.63333333333333,166.63333333333333,3.0171730698343016
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-06,23.7,60,171.2,6,1,6,1,1,167.4,176.15188866799204,176.15188866799204,166.825,166.825,166.825,2.4931573021639344
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-07,24.1,57,166.4,0,0,7,1,1,171.2,176.15188866799204,176.15188866799204,167.7,167.7,167.7,2.9137604568666946
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-08,25.1,48,160.8,1,0,8,1,1,166.4,176.15188866799204,176.15188866799204,167.48333333333332,167.48333333333332,167.48333333333332,2.6596365666509145
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-09,25.5,41,163.0,2,0,9,1,1,160.8,164.6,176.15188866799204,166.52857142857144,166.52857142857144,166.52857142857144,3.5036715436402184
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-10,24.2,58,168.8,3,0,10,1,1,163.0,170.1,176.15188866799204,166.29999999999998,166.0875,166.0875,3.6972963094672204
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-11,24.8,63,167.7,4,0,11,1,1,168.8,165.2,176.15188866799204,166.11428571428573,166.38888888888889,166.38888888888889,3.502108208602619
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-12,24.9,60,168.1,5,1,12,1,1,167.7,167.4,176.15188866799204,166.47142857142856,166.52,166.52,3.5207547892056086
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-13,24.7,59,164.9,6,1,13,1,1,168.1,171.2,176.15188866799204,166.57142857142858,166.66363636363636,166.66363636363636,3.561233066282084
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-14,24.2,56,163.3,0,0,14,1,1,164.9,166.4,176.15188866799204,165.67142857142858,166.51666666666668,166.51666666666668,2.9380913791747316
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-15,24.6,52,160.7,1,0,15,1,1,163.3,160.8,176.15188866799204,165.22857142857143,166.26923076923077,166.26923076923077,3.0417726661242876
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-16,25.1,52,155.2,2,0,16,1,1,160.7,163.0,164.6,165.21428571428572,165.87142857142857,165.87142857142857,3.06617490881204
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-17,25.3,59,161.8,3,0,17,1,1,155.2,168.8,170.1,164.1,165.20000000000002,165.16,4.883646178829911
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-18,25.5,61,169.9,4,0,18,1,1,161.8,167.7,165.2,163.1,164.60714285714286,164.95,4.459073147340519
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-19,25.3,57,166.0,5,1,19,1,1,169.9,168.1,167.4,163.41428571428568,164.94285714285712,165.24117647058824,4.893679110658486
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-20,25.1,56,153.9,6,1,20,1,1,166.0,164.9,171.2,163.1142857142857,164.84285714285713,165.28333333333333,4.614985941267345
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-21,24.8,55,153.3,0,0,21,1,1,153.9,163.3,166.4,161.54285714285714,163.60714285714286,164.68421052631578,5.660052161967277
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-22,24.4,55,152.6,1,0,22,1,1,153.3,160.7,160.8,160.1142857142857,162.67142857142858,164.115,6.361191861967524
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-23,25.4,60,194.9,2,0,23,1,1,152.6,155.2,163.0,158.95714285714286,162.08571428571432,163.56666666666666,6.946667580659842
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-24,26.4,59,193.7,3,0,24,1,1,194.9,161.8,168.8,164.62857142857143,164.36428571428573,164.9909090909091,14.956349185291874
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-25,27.4,56,176.4,4,0,25,1,1,193.7,169.9,167.7,169.1857142857143,166.14285714285714,166.2391304347826,18.411629347727352
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-26,27.6,62,172.4,5,1,26,1,1,176.4,166.0,168.1,170.1142857142857,166.76428571428573,166.6625,18.61642899622343
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-27,25.7,70,181.0,6,1,27,1,1,172.4,153.9,164.9,171.02857142857144,167.07142857142858,166.892,18.537683627835335
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-28,22.9,84,189.4,0,0,28,1,1,181.0,153.3,163.3,174.90000000000003,168.2214285714286,167.4346153846154,17.141567411801446
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-29,24.0,67,189.8,1,0,29,1,1,189.4,152.6,160.7,180.05714285714285,170.08571428571426,168.24814814814815,14.835302170033161
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-30,23.7,53,160.4,2,0,30,1,1,189.8,194.9,155.2,185.3714285714286,172.16428571428574,169.01785714285714,8.79255637565366
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-31,23.9,62,162.7,3,0,31,1,1,160.4,193.7,161.8,180.44285714285712,172.53571428571428,168.7206896551724,11.737384311514667
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-02,25.1,59,164.2,5,1,2,2,1,162.7,176.4,169.9,176.01428571428573,172.6,168.52,11.749954407206394
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-03,25.4,64,163.7,6,1,3,2,1,164.2,172.4,166.0,174.27142857142857,172.19285714285715,168.50666666666666,12.56008416714294
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-04,26.0,64,165.8,0,0,4,2,1,163.7,181.0,153.9,173.0285714285714,172.02857142857144,168.29333333333335,13.190743507691854
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-05,26.4,60,165.2,1,0,5,2,1,165.8,189.4,153.3,170.85714285714286,172.87857142857143,168.31333333333336,12.907860285223794
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-06,27.4,52,163.2,2,0,6,2,1,165.2,189.8,152.6,167.4,173.72857142857143,168.23999999999998,10.034772875689178
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-07,28.3,48,152.8,3,0,7,2,1,163.2,160.4,194.9,163.6,174.48571428571427,167.97333333333333,1.77857620959405
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-08,29.3,56,156.7,4,0,8,2,1,152.8,162.7,193.7,162.5142857142857,171.47857142857143,167.52,4.418306074892185
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-09,28.2,65,149.8,5,1,9,2,1,156.7,164.2,176.4,161.65714285714284,168.83571428571426,167.38333333333333,4.9287784635605005
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-10,28.4,63,148.7,6,1,10,2,1,149.8,163.7,172.4,159.59999999999997,166.93571428571428,166.94333333333333,6.458327956987065
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-11,27.7,61,153.8,0,0,11,2,1,148.7,165.8,181.0,157.45714285714286,165.2428571428571,166.27333333333334,7.304304014952966
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-12,27.2,61,155.2,1,0,12,2,1,153.8,165.2,189.4,155.74285714285716,163.29999999999998,165.81,6.368112525926192
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-13,26.7,60,157.5,2,0,13,2,1,155.2,163.2,189.8,154.31428571428572,160.85714285714286,165.38,4.828536207254009
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-14,27.3,55,149.2,3,0,14,2,1,157.5,152.8,160.4,153.5,158.54999999999998,165.13333333333333,3.3276618417943857
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-15,28.6,52,148.1,4,0,15,2,1,149.2,156.7,162.7,152.9857142857143,157.75,164.66333333333333,3.7100892044212364
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-16,29.9,49,151.5,5,1,16,2,1,148.1,149.8,164.2,151.75714285714284,156.70714285714286,164.24333333333334,3.6990346230953675
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-17,30.0,50,150.5,6,1,17,2,1,151.5,148.7,163.7,152.0,155.79999999999998,164.12,3.603701800464047
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-18,30.1,56,159.5,0,0,18,2,1,150.5,153.8,165.8,152.25714285714284,154.85714285714286,163.74333333333334,3.3866685414319693
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-19,30.5,59,160.8,1,0,19,2,1,159.5,155.2,165.2,153.07142857142858,154.40714285714284,163.39666666666665,4.3637576642593325
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-20,29.6,55,159.1,2,0,20,2,1,160.8,157.5,163.2,153.87142857142857,154.09285714285716,163.22333333333333,5.243635598105134
Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-21,28.8,53,197.0,3,0,21,2,1,159.1,149.2,152.8,154.09999999999997,153.79999999999998,163.39666666666665,5.458632307333746
